Source,Actor Seg,Final Segment,Pickup,Delivery,Distinct Order Count,Product Name
WLS,Others,MSMB Others,,,5,Mobility Voice
WLS,Others,MSMB Others,,,9,Mobility Voice
WLS,CP,MSMB CP,,,1,Mobility Voice
WLS,CP,MSMB CP,,,1,Mobility Voice
WLS,CP,MSMB CP,,,1,Mobility Voice
WLS,CP,MSMB CP,,,1,Mobility Voice
WLS,CP,MSMB CP,,,5,Mobility Voice
WLS,CP,MSMB CP,,,4,Mobility Voice
WLS,CP,MSMB CP,,,1,Mobility Voice
WLS,CP,MSMB CP,,,4,Mobility Voice
WLS,CP,MSMB CP,,,1,Mobility Voice
WLS,CP,MSMB CP,,MTD,2,Mobility Voice
WLS,Others,MSMB Others,,,"4,000",Mobility IoT
WLS,Others,MSMB Others,,MTD,"2,000",Mobility IoT
WLS,Others,MSMB Others,,MTD,"4,000",Mobility IoT
WLS,Others,MSMB Others,,MTD,"2,000",Mobility IoT
WLS,Others,MSMB Others,,MTD,"7,999",Mobility IoT
WLS,Others,MSMB Others,,MTD,"5,000",Mobility IoT
WLS,Others,MSMB Others,,MTD,1,Mobility IoT
WLS,Others,MSMB Others,,,8,Mobility Voice
WLS,Others,MSMB Others,,,2,Mobility Voice
WLS,Others,MSMB Others,,MTD,10,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,4,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,4,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,2,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
WLS,Direct,MSMB Direct,,,2,Mobility Voice
WLS,Others,MSMB Others,,,"4,500",Mobility IoT
WLS,Others,MSMB Others,,,"6,000",Mobility IoT
WLS,Others,MSMB Others,,,"7,550",Mobility IoT
WLS,Others,MSMB Others,,,"8,450",Mobility IoT
WLS,Others,MSMB Others,,,"8,000",Mobility IoT
WLS,Others,MSMB Others,,,"1,815",Mobility IoT
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,,1,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,1,Mobility Voice
WLS,Direct,MSMB Direct,,MTD,1,Mobility Voice
WLS,Direct,MSMB Direct,,,7,Mobility Voice
WLS,Direct,MSMB Direct,,,3,Mobility Voice
